iter	Passed	Remaining
0	2	2418
1	3	1908
2	5	1745
3	6	1669
4	8	1632
5	10	1685
6	11	1666
7	13	1672
8	14	1640
9	16	1599
10	17	1580
11	19	1584
12	20	1568
13	22	1558
14	23	1575
15	25	1567
16	27	1581
17	28	1561
18	29	1545
19	31	1530
20	32	1527
21	34	1522
22	35	1512
23	36	1499
24	38	1506
25	40	1506
26	42	1515
27	43	1506
28	44	1496
29	45	1485
30	47	1483
31	48	1478
32	50	1472
33	51	1464
34	53	1463
35	55	1480
36	56	1476
37	58	1485
38	60	1479
39	61	1473
40	62	1464
41	64	1466
42	65	1462
43	67	1459
44	68	1462
45	70	1466
46	72	1471
47	74	1467
48	75	1463
49	77	1474
50	79	1480
51	80	1475
52	82	1472
53	84	1479
54	86	1479
55	87	1482
56	89	1478
57	90	1474
58	92	1471
59	93	1470
60	95	1467
61	97	1468
62	98	1467
63	100	1471
64	102	1470
65	104	1471
66	105	1467
67	106	1460
68	107	1454
69	108	1447
70	110	1446
71	112	1445
72	113	1442
73	115	1439
74	116	1438
75	118	1439
76	119	1436
77	121	1430
78	122	1424
79	123	1419
80	124	1417
81	126	1415
82	127	1404
83	128	1401
84	130	1405
85	132	1403
86	133	1404
87	135	1399
88	136	1393
89	137	1388
90	138	1385
91	140	1383
92	141	1381
93	142	1378
94	144	1376
95	146	1378
96	148	1378
97	149	1375
98	150	1372
99	151	1367
100	153	1363
101	154	1359
102	155	1355
103	156	1351
104	158	1347
105	159	1344
106	161	1346
107	163	1347
108	164	1346
109	165	1342
110	167	1338
111	168	1334
112	169	1330
113	171	1330
114	172	1327
115	173	1324
116	175	1320
117	177	1323
118	178	1321
119	179	1319
120	181	1316
121	181	1309
122	183	1305
123	184	1301
124	185	1299
125	187	1298
126	188	1293
127	189	1290
128	190	1289
129	192	1290
130	194	1288
131	196	1288
132	197	1285
133	198	1282
134	199	1279
135	200	1276
136	202	1273
137	203	1270
138	204	1268
139	206	1268
140	208	1268
141	209	1263
142	210	1261
143	211	1258
144	212	1254
145	214	1251
146	215	1249
147	217	1249
148	218	1248
149	219	1246
150	221	1246
151	223	1245
152	225	1245
153	226	1243
154	227	1240
155	228	1237
156	230	1235
157	231	1232
158	232	1231
159	234	1229
160	234	1224
161	236	1224
162	238	1223
163	240	1223
164	241	1221
165	242	1218
166	243	1216
167	245	1214
168	246	1211
169	247	1209
170	249	1207
171	250	1205
172	251	1204
173	253	1205
174	255	1204
175	257	1203
176	258	1201
177	259	1198
178	260	1195
179	261	1193
180	263	1192
181	265	1191
182	266	1190
183	268	1190
184	270	1190
185	271	1188
186	272	1185
187	273	1183
188	275	1180
189	276	1179
190	278	1178
191	279	1177
192	281	1176
193	283	1175
194	285	1177
195	286	1176
196	288	1175
197	289	1173
198	290	1170
199	292	1168
200	293	1167
201	295	1166
202	296	1164
203	298	1165
204	300	1163
205	301	1162
206	302	1160
207	304	1158
208	305	1155
209	306	1152
210	307	1151
211	309	1149
212	310	1147
213	311	1145
214	313	1144
215	315	1143
216	316	1143
217	318	1141
218	319	1139
219	320	1136
220	321	1134
221	323	1133
222	324	1131
223	326	1129
224	327	1128
225	329	1129
226	331	1128
227	332	1127
228	334	1124
229	335	1122
230	336	1119
231	337	1117
232	338	1115
233	340	1113
234	341	1111
235	342	1109
236	344	1109
237	346	1108
238	347	1107
239	349	1105
240	350	1103
241	351	1101
242	352	1099
243	354	1097
244	355	1095
245	356	1093
246	358	1092
247	360	1093
248	362	1092
249	363	1091
250	365	1089
251	366	1087
252	367	1084
253	368	1082
254	370	1080
255	371	1079
256	372	1077
257	374	1075
258	376	1076
259	377	1075
260	379	1074
261	380	1072
262	382	1071
263	383	1069
264	384	1067
265	386	1065
266	387	1064
267	388	1062
268	390	1060
269	392	1061
270	394	1059
271	395	1058
272	396	1056
273	397	1054
274	399	1052
275	401	1051
276	402	1050
277	403	1049
278	405	1048
279	407	1046
280	408	1045
281	410	1044
282	411	1042
283	412	1040
284	413	1038
285	415	1037
286	417	1036
287	419	1036
288	420	1035
289	422	1035
290	425	1036
291	426	1035
292	428	1033
293	429	1031
294	431	1030
295	432	1028
296	434	1027
297	435	1026
298	437	1025
299	438	1023
300	439	1021
301	441	1019
302	442	1017
303	443	1015
304	444	1013
305	446	1011
306	447	1011
307	449	1010
308	450	1008
309	452	1006
310	453	1004
311	454	1002
312	455	1000
313	456	998
314	458	996
315	459	995
316	461	994
317	463	993
318	465	992
319	466	990
320	467	988
321	468	986
322	469	984
323	471	982
324	472	980
325	473	978
326	475	978
327	477	977
328	478	976
329	479	974
330	481	973
331	483	973
332	485	972
333	486	970
334	487	968
335	489	966
336	490	964
337	491	962
338	493	961
339	494	960
340	495	958
341	497	957
342	499	955
343	500	953
344	501	952
345	502	950
346	503	947
347	504	945
348	506	944
349	507	942
350	509	941
351	511	941
352	512	939
353	513	937
354	515	935
355	516	933
356	517	932
357	518	930
358	519	928
359	521	926
360	522	925
361	524	924
362	525	922
363	527	920
364	528	918
365	529	916
366	530	915
367	531	913
368	532	911
369	534	909
370	535	908
371	536	906
372	538	904
373	540	903
374	541	903
375	543	901
376	544	899
377	545	897
378	546	895
379	547	893
380	548	891
381	550	890
382	552	889
383	553	887
384	555	887
385	556	885
386	558	884
387	559	882
388	561	881
389	562	879
390	563	878
391	565	876
392	566	875
393	567	873
394	569	871
395	571	871
396	572	869
397	573	867
398	575	866
399	576	864
400	577	862
401	578	860
402	579	859
403	581	857
404	582	855
405	583	853
406	584	852
407	586	850
408	587	849
409	589	847
410	590	846
411	592	845
412	593	843
413	594	842
414	596	840
415	597	838
416	598	836
417	599	835
418	601	834
419	603	832
420	604	831
421	605	829
422	607	828
423	608	826
424	609	824
425	610	822
426	611	820
427	612	819
428	614	817
429	615	816
430	618	815
431	619	814
432	620	812
433	621	810
434	622	809
435	624	807
436	625	805
437	626	803
438	627	801
439	628	800
440	630	798
441	631	797
442	633	796
443	634	794
444	635	792
445	636	791
446	638	789
447	639	787
448	640	785
449	641	784
450	642	782
451	644	781
452	646	780
453	648	779
454	649	778
455	651	776
456	652	775
457	653	773
458	654	771
459	655	769
460	656	768
461	658	766
462	660	765
463	661	764
464	663	763
465	665	762
466	667	761
467	668	760
468	669	758
469	671	756
470	672	754
471	673	753
472	674	751
473	675	749
474	677	748
475	678	747
476	680	745
477	681	744
478	683	743
479	685	742
480	686	740
481	687	739
482	688	737
483	690	735
484	691	734
485	693	733
486	695	732
487	696	730
488	697	729
489	698	727
490	699	725
491	701	723
492	702	722
493	703	720
494	704	719
495	706	717
496	707	716
497	709	715
498	710	713
499	711	711
500	712	710
501	714	708
502	715	706
503	716	705
504	717	703
505	718	701
506	720	700
507	721	699
508	723	697
509	725	696
510	726	695
511	727	693
512	728	691
513	729	690
514	731	688
515	732	686
516	733	685
517	734	683
518	735	682
519	737	680
520	739	679
521	740	678
522	742	676
523	743	675
524	744	673
525	745	672
526	746	670
527	748	668
528	749	667
529	750	665
530	751	664
531	753	662
532	754	661
533	756	659
534	757	658
535	758	656
536	759	654
537	760	653
538	762	651
539	763	650
540	764	648
541	765	647
542	767	645
543	768	644
544	770	642
545	771	641
546	773	640
547	774	639
548	776	637
549	777	635
550	778	634
551	779	632
552	780	631
553	782	629
554	784	628
555	786	627
556	787	626
557	789	625
558	791	624
559	792	622
560	794	621
561	795	619
562	796	618
563	798	616
564	799	615
565	801	614
566	803	613
567	804	611
568	805	610
569	806	608
570	807	606
571	808	605
572	810	603
573	811	602
574	812	600
575	814	599
576	816	598
577	817	596
578	818	595
579	820	593
580	821	592
581	822	590
582	823	589
583	824	587
584	826	586
585	827	584
586	829	583
587	830	582
588	832	580
589	833	578
590	834	577
591	835	575
592	836	574
593	837	572
594	839	571
595	841	570
596	843	569
597	845	568
598	846	566
599	848	565
600	849	564
601	850	562
602	852	561
603	853	559
604	855	558
605	857	557
606	859	556
607	860	554
608	862	554
609	865	553
610	867	552
611	868	550
612	870	549
613	871	548
614	873	547
615	875	545
616	877	544
617	879	543
618	881	542
619	882	540
620	884	539
621	885	538
622	886	536
623	888	535
624	890	534
625	892	533
626	893	531
627	894	530
628	896	528
629	897	527
630	898	525
631	900	524
632	901	522
633	903	521
634	905	520
635	907	519
636	908	517
637	910	516
638	911	514
639	912	513
640	914	512
641	915	510
642	919	510
643	923	510
644	925	509
645	926	507
646	927	506
647	929	504
648	930	503
649	932	501
650	933	500
651	935	499
652	936	497
653	938	496
654	940	495
655	941	493
656	942	492
657	944	490
658	945	489
659	946	487
660	948	486
661	949	484
662	951	483
663	953	482
664	955	481
665	956	479
666	957	478
667	959	476
668	960	475
669	961	473
670	963	472
671	964	470
672	966	469
673	967	468
674	969	466
675	971	465
676	973	464
677	974	462
678	976	461
679	977	460
680	979	458
681	981	457
682	983	456
683	984	454
684	985	453
685	987	451
